Fighter,Wrestling,Submissions,Boxing,Kickboxing,Defense,Cardio,Power,Chin,Fight IQ,Speed
Stephen Thompson,2.4,2.5,4.3,5.0,4.9,4.3,3.8,4.5,4.8,4.9
Stipe Miocic,4.7,3.1,4.4,4.1,4.5,4.5,4.8,4.8,4.7,4.0
TJ Dillashaw,4.7,3.4,4.3,4.6,4.7,4.8,3.9,4.5,4.7,4.8
Tai Tuivasa,3.4,2.5,2.9,3.1,3.7,3.4,3.3,3.0,2.8,3.2
Tatiana Suarez,5.0,4.6,3.1,3.0,4.7,4.8,3.3,4.7,4.7,4.3
Tecia Torres,3.0,2.6,3.0,2.9,2.8,2.9,3.1,2.9,2.8,2.6
Thiago Alves,3.3,2.7,3.3,2.8,2.6,3.0,2.5,3.0,3.4,2.5
Thiago Santos,2.8,2.6,3.0,2.6,3.1,3.3,3.1,2.7,3.0,3.2
Thiago Silva,3.0,3.2,2.5,3.1,2.8,2.9,2.7,3.1,3.5,2.6
Thiago Tavares,3.2,2.9,2.6,3.2,3.4,2.8,3.0,2.6,2.6,3.3
Tim Kennedy,3.0,3.1,3.2,3.2,2.8,2.7,2.8,2.9,3.2,3.3
Tim Means,3.1,2.8,3.4,3.5,3.3,2.7,3.1,3.2,2.5,3.1
Tim Sylvia,2.3,2.6,3.0,2.9,3.1,3.2,3.2,3.0,2.5,2.9
Tito Ortiz,3.1,3.1,2.7,2.7,2.7,3.1,3.3,3.0,2.3,2.5
Tom Aspinall,4.7,4.5,4.5,4.6,4.8,4.6,4.9,4.6,4.7,4.8
Tony Ferguson,3.5,4.8,4.1,4.1,4.7,5.0,4.1,4.9,4.6,4.6
Travis Browne,2.5,3.0,2.5,3.1,2.8,2.7,2.9,3.0,2.8,3.2
Tyron Woodley,2.9,2.8,3.1,3.2,2.7,2.7,3.3,3.0,2.6,3.1
Uriah Hall,2.9,3.3,2.9,2.5,3.5,3.2,3.0,3.0,3.3,2.8
Urijah Faber,4.7,4.1,4.0,3.8,4.6,4.7,4.0,4.7,4.7,4.6
Valentina Shevchenko,4.7,4.5,4.4,4.9,4.9,4.8,4.1,4.7,4.9,4.8
Vicente Luque,3.2,2.6,3.2,2.8,3.3,3.6,3.0,2.5,2.8,3.3
Virna Jandiroba,3.0,2.6,3.0,3.0,2.6,2.6,3.2,2.4,3.1,2.9
Vitor Belfort,3.8,2.8,4.0,4.3,4.9,4.0,5.0,4.3,4.0,4.7
Viviane Araujo,3.0,3.5,2.9,3.1,2.8,2.9,3.1,3.3,3.1,3.4
Volkan Oezdemir,2.9,3.0,2.6,3.1,3.5,3.1,2.9,3.0,2.9,2.9
Walt Harris,2.7,2.7,3.0,3.4,2.9,2.3,3.1,2.9,3.0,3.0
Wanderlei Silva,3.1,2.4,3.9,4.2,4.9,4.0,4.8,5.0,3.8,3.7
Warlley Alves,2.8,2.9,2.6,3.4,3.0,3.1,3.7,3.5,2.9,2.8
Yair Rodriguez,2.4,3.3,3.8,4.9,4.3,4.2,4.0,4.0,4.3,4.9
Yan Xiaonan,2.6,3.3,3.2,3.0,3.4,3.0,3.0,2.9,3.2,3.1
Yoel Romero,4.8,3.2,3.8,4.0,4.9,4.0,5.0,4.9,4.0,4.7
Zhang Weili,4.8,3.9,4.5,4.8,4.8,4.9,4.5,4.8,4.8,4.8
